Country English,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Guinea,4222374,4298087,4372212,4445207,4517073,4588006,4658743,4730375,4804926,4885199,4972609,5067427,5170732,5282274,5402085,5531661,5671380,5820774,5977175,6136166,6354145,6615735,6832195,7046098,7262112,7468347,7683116,7842806,7992545,8174897,8428832,8539960,8674066,8870782,9062726,9245845,9441171,9662281,9898870,10143535,10396086,10656810,10921581,11191873,11472924,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,14754786,15099727,
Guinea-Bissau,591663,594502,595950,603203,623576,659636,701016,746589,794329,821599,831463,844957,858630,872395,886210,900088,914123,928408,943080,958239,973551,993856,1022905,1056761,1089617,1117222,1140605,1162443,1184071,1206474,1234741,1261273,1289308,1318806,1349563,1381586,1415303,1450986,1488055,1526377,1566347,1608077,1651417,1695973,1741123,1786457,1831894,1877072,1922168,1967696,2013255,2058842,2105529,2153339,2201352,2249515,
Kenya,11473088,11898457,12322903,12760405,13203949,13651909,14102268,14577347,15087423,15620614,16187125,16785962,17411491,18069461,18753176,19452161,20160880,20882095,21626122,22387803,23162270,23918236,24655723,25391830,26133744,26878348,27615737,28364264,29137373,29965129,30642890,31619170,32629809,33652223,34713456,35796484,36904008,38036350,39206352,40408891,41598567,42758461,43888303,44986791,46051441,47088526,48139687,49197766,50207108,51202828,52217334,53219166,54252461,55339003,56432945,57532493,
Lesotho,1023482,1059879,1097242,1135632,1175369,1216180,1256479,1294435,1331213,1368917,1407673,1447501,1488399,1530331,1573267,1616697,1659793,1698939,1733733,1767092,1798997,1829510,1858507,1885478,1910642,1934079,1955098,1972579,1985639,1994243,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953269,1966541,1980883,1996251,2014009,2034355,2056504,2080089,2104612,2130422,2157111,2183603,2209406,2235727,2261542,2286111,2311472,2337423,2363325,
Liberia,1463564,1501658,1540995,1582697,1626283,1671633,1718482,1768092,1820862,1875567,1932169,1989690,2047603,2109151,2174194,2239724,2305860,2372449,2439639,2507600,2209731,1939236,2052626,2132771,2125198,2142422,2203967,2383300,2639225,2789743,2928117,3015338,3094782,3119533,3156892,3301015,3490787,3669050,3821004,3943028,4058890,4221179,4373044,4470239,4564294,4659431,4755608,4848925,4944726,5043721,5149464,5259323,5373294,5493031,5612817,5731206,
Libya,1909177,1958320,2012796,2084256,2179446,2291842,2413760,2541805,2676117,2816917,2962720,3112016,3265457,3423592,3564547,3684313,3800110,3911940,4021565,4130043,4236983,4341971,4444821,4544970,4641296,4733063,4820067,4902346,4980962,5057998,5305022,5403639,5508411,5619398,5736693,5858798,5980211,6104380,6235430,6366687,6497839,6343203,6179328,6304629,6427252,6531820,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,7381023,7458555,
Madagascar,6639751,6840457,7051090,7268561,7491935,7720859,7955197,8195143,8440920,8692289,8948162,9207310,9470991,9740089,10015017,10297746,10588428,10890514,11206789,11536734,11882762,12245260,12623342,13020100,13436122,13869138,14317454,14778903,15250935,15730885,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923841,21547280,22183341,22822300,23462438,24109291,24764348,25426703,26099952,26788375,27494926,28219554,28953557,29691083,30437261,31195933,31964956,32740678,
Malawi,4625141,4742480,4865978,4996239,5134199,5280965,5438227,5611713,5808810,6029140,6267369,6519891,6784348,7058317,7339002,7625078,7909819,8295993,8754782,9174895,9539665,9831584,10115420,10257233,10131800,10112816,10310528,10512678,10732456,10973956,11315942,11593059,11880440,12181574,12500737,12840032,13198701,13576343,13976418,14395788,14826463,15265023,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104483,21655286,22216120,
Mali,6153587,6247878,6347158,6455257,6569273,6687293,6807648,6935336,7072938,7218079,7372581,7532864,7696349,7863944,8030099,8187651,8334589,8474329,8617474,8774122,8945026,9123969,9310572,9506510,9711797,9921094,10131906,10359302,10620475,10916993,11559291,11912158,12288050,12684955,13102409,13538648,13990140,14457776,14940783,15435539,15945198,16469049,16957033,17459615,18020267,18593022,19191290,19813011,20442030,21068405,21713836,22388631,23072640,23769128,24478596,25198822,
Mauritania,1122198,1156361,1191376,1227358,1264352,1302436,1341604,1381329,1421786,1463515,1506694,1551687,1598333,1646344,1695675,1746265,1798010,1851093,1905847,1955040,2006027,2066303,2147527,2237065,2315192,2380342,2428817,2484278,2550502,2620612,2613442,2678760,2738655,2802046,2868664,2939059,3013660,3093060,3183269,3284449,3390965,3502812,3619034,3734319,3848514,3965959,4086657,4210600,4337685,4467708,4600131,4734875,4875638,5022442,5169396,5315065,
